categoria,subcategoria,etiqueta_menu,name,layer_id,source_id,url,pgw_ref
"1. Amenazados y en estado vulnerable","1.1. De litoral y aguas poco profundas","Sedimentos submarinos",sedimentosSubmarinos,sedimentosSubmarinos-layer,sedimentosSubmarinos_,/assets/maps/layers/ecosistemas/sedimentos-submarinos.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.1. De litoral y aguas poco profundas","Manglar",manglar,manglar-layer,manglar_,/assets/maps/layers/ecosistemas/manglar.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.1. De litoral y aguas poco profundas","Llanura mareal",llanuraMareal,llanuraMareal-layer,llanuraMareal_,/assets/maps/layers/ecosistemas/llanura-mareal.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.1. De litoral y aguas poco profundas","Playas",playas,playas-layer,playas_,/assets/maps/layers/ecosistemas/playas.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.1. De litoral y aguas poco profundas","Zona pantanosa",zonaPantanosa,zonaPantanosa-layer,zonaPantanosa_,/assets/maps/layers/ecosistemas/zona-pantanosa.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.2. Con vegetacion de baja altura","Rocas expuestas",rocasExpuestas,rocasExpuestas-layer,rocasExpuestas_,/assets/maps/layers/ecosistemas/rocas-expuestas.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.2. Con vegetacion de baja altura","Humedales",humedales,humedales-layer,humedales_,https://res.cloudinary.com/dvluvxfvn/image/upload/v1752620855/geoImages/zabqishlczt4jhzan583.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.2. Con vegetacion de baja altura","Vegetacion arbustiva (arbustal)",arbustal,arbustal-layer,arbustal_,https://res.cloudinary.com/dvluvxfvn/image/upload/v1752616024/geoImages/jmzub122jv4yei2hpchp.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.2. Con vegetacion de baja altura","Campos de hierbas y pastos (herbazal)",herbazalPastos,herbazalPastos-layer,herbazalPastos_,https://res.cloudinary.com/dvluvxfvn/image/upload/v1752620752/geoImages/ab8fmppquopvzo4t9ime.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.3. Bosques","Extremadamente secos (Xerofitico)",xerofitico,xerofitico-layer,xerofitico_,/assets/maps/layers/ecosistemas/xerofitico.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.3. Bosques","Muy secos (Subxerofitico)",subxerofitico,subxerofitico-layer,subxerofitico_,/assets/maps/layers/ecosistemas/subxerofitico.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.3. Bosques","Inundables",inundables,inundables-layer,inundables_,/assets/maps/layers/ecosistemas/inundables.webp,PGW_ECOS_CAPAS
"1. Amenazados y en estado vulnerable","1.3. Bosques","Secos tropicales",secosTropicales,secosTropicales-layer,secosTropicales_,/assets/maps/layers/ecosistemas/secos-tropicales.webp,PGW_ECOS_CAPAS
